,no,distance,accerelation_L,accerelation_R,velocity
1,5351835,109744.696427,2.01419,1.7044,
2,5351836,109744.686451,1.1127799999999999,2.89824,
3,5351837,109744.676475,-0.322341,4.71563,
4,5351838,109744.666499,-0.677649,6.0400599999999995,
5,5351839,109744.656523,-4.31418,3.80249,
6,5351840,109744.646548,-5.7314,2.30134,
7,5351841,109744.636572,-5.315180000000001,2.75041,
8,5351842,109744.626596,-1.63656,-2.2438,
9,5351843,109744.61662,0.67583,-7.9809399999999995,
10,5351844,109744.606644,0.56399,-10.5904,
11,5351845,109744.59666800001,2.15501,-4.923369999999999,
12,5351846,109744.58669200001,2.84888,5.28306,
13,5351847,109744.576717,3.7406599999999997,7.945110000000001,
14,5351848,109744.566741,4.36529,4.18878,
15,5351849,109744.55676500002,2.96035,4.37712,
16,5351850,109744.54678900001,2.88092,0.950642,41.0646
17,5351851,109744.53681300001,1.41676,-3.09501,
18,5351852,109744.52683699998,0.9614389999999999,0.23641199999999998,
19,5351853,109744.516861,-3.3683400000000003,-0.313632,
20,5351854,109744.50688599999,-5.41659,-3.8788699999999996,
21,5351855,109744.49690999999,-6.952039999999999,-4.96047,
22,5351856,109744.48693399999,-3.81385,-0.41968,
23,5351857,109744.476958,-5.539969999999999,0.43084399999999995,
24,5351858,109744.466982,-1.6536400000000002,5.27323,
25,5351859,109744.457006,3.9947199999999996,7.92387,
26,5351860,109744.44703099999,5.76207,5.92192,
27,5351861,109744.437055,7.560639999999999,4.30701,
28,5351862,109744.427079,6.7691,-0.20999600000000002,
29,5351863,109744.417103,-0.0877907,2.71874,
30,5351864,109744.407127,-4.9614,2.94202,
31,5351865,109744.397151,-8.45403,-3.85045,
32,5351866,109744.387175,-8.67896,-5.0216199999999995,
33,5351867,109744.3772,-4.7496,-9.60383,
34,5351868,109744.367224,-2.27902,-8.37807,
35,5351869,109744.357248,6.10731,-1.6108200000000001,
36,5351870,109744.347272,10.0402,-0.8308030000000001,
37,5351871,109744.337296,11.8662,-0.0543332,
38,5351872,109744.32732000001,10.9119,-0.353883,
39,5351873,109744.31734400001,8.52309,-2.22003,
40,5351874,109744.307369,2.22471,-0.630192,
41,5351875,109744.297393,-3.6742199999999996,2.68508,41.0646
42,5351876,109744.28741700001,-3.57761,3.7747599999999997,
43,5351877,109744.27744100001,-1.93029,1.1031600000000001,
44,5351878,109744.26746500001,-6.06855,-1.78895,
45,5351879,109744.25748900001,-7.724260000000001,-2.91317,
46,5351880,109744.24751400002,-5.80518,-1.34443,
47,5351881,109744.23753800002,-6.492319999999999,-1.6331799999999999,
48,5351882,109744.22756199999,-5.60516,0.06494660000000001,
49,5351883,109744.21758599998,-1.52373,4.35764,
50,5351884,109744.20761,-0.619476,2.65712,
51,5351885,109744.197634,-5.06311,4.3614,
52,5351886,109744.187658,-4.19897,4.57142,
53,5351887,109744.17768299999,1.38154,0.46102600000000005,
54,5351888,109744.167707,9.10768,-2.2039,
55,5351889,109744.157731,12.7879,-3.5691699999999997,
56,5351890,109744.147755,8.99892,-5.381959999999999,
57,5351891,109744.137779,2.1754,-0.9757520000000001,
58,5351892,109744.127803,-1.92123,7.806139999999999,
59,5351893,109744.117827,-2.0392099999999997,7.519939999999999,
60,5351894,109744.107852,0.725449,1.61119,
61,5351895,109744.097876,2.7934200000000002,-3.4067300000000005,
62,5351896,109744.0879,0.522928,-3.12736,
63,5351897,109744.077924,-6.270519999999999,-1.018,
64,5351898,109744.067948,-10.8995,1.8389400000000002,
65,5351899,109744.05797200001,-9.97034,1.59296,
66,5351900,109744.047997,-2.46477,-1.52921,41.0646
67,5351901,109744.038021,4.62216,-3.5648,
68,5351902,109744.028045,7.15964,-3.0394,
69,5351903,109744.01806900001,2.13568,0.28341900000000003,
70,5351904,109744.00809300001,-1.7271599999999998,1.38255,
71,5351905,109743.99811700001,2.2734900000000002,-1.9031900000000002,
72,5351906,109743.98814100001,8.13493,-5.90983,
73,5351907,109743.97816600002,9.29945,-3.62417,
74,5351908,109743.96819000001,5.64394,2.93872,
75,5351909,109743.95821400001,-0.32711999999999997,4.9210400000000005,
76,5351910,109743.94823800001,-10.2657,8.46861,
77,5351911,109743.93826199998,-7.641589999999999,10.3333,
78,5351912,109743.928286,3.13045,-1.21892,
79,5351913,109743.91831,7.57136,-8.86456,
80,5351914,109743.90833499999,5.39666,-7.084219999999999,
81,5351915,109743.89835899998,-2.65516,1.12487,
82,5351916,109743.888383,-6.973330000000001,6.36758,
83,5351917,109743.878407,-6.2654,5.41601,
84,5351918,109743.868431,0.571337,0.16483399999999998,
85,5351919,109743.858455,3.6525300000000005,-3.2540299999999998,
86,5351920,109743.84848,3.34556,-4.95823,
87,5351921,109743.838504,-0.77584,-1.49967,
88,5351922,109743.828528,-6.46453,1.30393,
89,5351923,109743.818552,-8.754669999999999,0.880228,
90,5351924,109743.808576,-2.81987,1.7698099999999999,
91,5351925,109743.7986,6.84967,-1.0066,41.0646
92,5351926,109743.78862400001,10.2452,-2.6812099999999996,
93,5351927,109743.778649,2.73696,-0.173578,
94,5351928,109743.768673,-6.054209999999999,5.03834,
95,5351929,109743.758697,-6.3594800000000005,4.47415,
96,5351930,109743.74872100001,0.9071819999999999,-2.5596400000000004,
97,5351931,109743.73874500001,6.0216199999999995,-8.67122,
98,5351932,109743.72876900001,3.6912300000000005,-12.6778,
99,5351933,109743.71879300001,1.00147,-10.9792,
100,5351934,109743.70881800001,-0.7035560000000001,-8.10624,
101,5351935,109743.69884200001,-0.695563,-3.1036099999999998,
102,5351936,109743.68886600001,4.06991,2.40877,
103,5351937,109743.67889000001,5.66404,1.5749600000000001,
104,5351938,109743.66891400001,2.04621,5.79941,
105,5351939,109743.65893800001,-3.6203199999999995,10.033,
106,5351940,109743.64896199999,-7.249230000000001,8.84653,
107,5351941,109743.63898699998,-6.55324,3.04997,
108,5351942,109743.62901099998,-1.1482299999999999,0.0049031000000000005,
109,5351943,109743.619035,2.31373,-4.55567,
110,5351944,109743.609059,0.497407,-9.56288,
111,5351945,109743.599083,-0.657478,-7.038469999999999,
112,5351946,109743.58910699999,0.6654909999999999,-2.29871,
113,5351947,109743.579132,5.52656,4.98807,
114,5351948,109743.569156,5.32218,8.428980000000001,
115,5351949,109743.55918,2.42925,5.158919999999999,
116,5351950,109743.549204,-1.60433,6.98906,40.8781
117,5351951,109743.539228,-5.0907599999999995,5.866680000000001,
118,5351952,109743.529252,-8.67571,4.6355,
119,5351953,109743.51927599999,-8.18703,2.71636,
120,5351954,109743.509301,-8.56765,1.87222,
121,5351955,109743.499325,-3.25406,3.7908199999999996,
122,5351956,109743.489349,3.0041700000000002,0.752008,
123,5351957,109743.479373,1.6057,-5.53768,
124,5351958,109743.46939700001,-0.136957,-4.86555,
125,5351959,109743.459421,2.25814,-0.555936,
126,5351960,109743.449445,7.26865,-2.66295,
127,5351961,109743.43947,10.964,-4.14728,
128,5351962,109743.42949400001,9.86506,-3.3621300000000005,
129,5351963,109743.41951800001,4.90067,0.18120799999999998,
130,5351964,109743.40954200001,-3.00718,3.3450599999999997,
131,5351965,109743.39956600001,-9.806280000000001,5.00195,
132,5351966,109743.38959,-11.2676,4.6426300000000005,
133,5351967,109743.37961500001,-7.47337,1.51031,
134,5351968,109743.36963900001,-0.71914,-6.22307,
135,5351969,109743.35966300001,6.02747,-9.04994,
136,5351970,109743.349687,4.02289,-3.9953,
137,5351971,109743.339711,-0.081734,2.6186,
138,5351972,109743.32973499999,-3.2920300000000005,6.701910000000001,
139,5351973,109743.31975899999,0.326873,3.85169,
140,5351974,109743.309784,4.73704,0.673035,
141,5351975,109743.299808,6.4061699999999995,-3.55614,41.0959
142,5351976,109743.289832,4.12432,-3.48496,
143,5351977,109743.279856,1.7037900000000001,-1.72373,
144,5351978,109743.26987999999,-2.27386,-0.619627,
145,5351979,109743.25990399999,-5.11244,-1.5061200000000001,
146,5351980,109743.24992799999,-2.5299,-1.8315700000000001,
147,5351981,109743.239953,-0.725877,-2.92614,
148,5351982,109743.229977,-2.67592,-3.13295,
149,5351983,109743.220001,-2.5651599999999997,3.01357,
150,5351984,109743.210025,0.707016,5.8011800000000004,
151,5351985,109743.200049,2.74326,4.22679,
152,5351986,109743.190073,0.87303,-2.60987,
153,5351987,109743.180098,1.6999900000000001,-1.90452,
154,5351988,109743.170122,4.9859800000000005,-0.10922899999999999,
155,5351989,109743.16014600001,2.24579,-1.58912,
156,5351990,109743.15017000001,-5.35778,-1.4855200000000002,
157,5351991,109743.140194,-7.75488,-1.6981,
158,5351992,109743.130218,-3.7694,-5.5083,
159,5351993,109743.120242,7.25582,-4.7715,
160,5351994,109743.11026700001,14.0788,-1.81675,
161,5351995,109743.10029100001,11.8673,-6.17326,
162,5351996,109743.09031500001,6.22931,-4.43295,
