failure,weight,vel,mean1k_max,std1k_max,max1k_max,mean512_max,std512_max,max512_max,mean256_max,std256_max,max256_max,mean128_max,std128_max,max128_max,mean64_max,std64_max,max64_max,mean32_max,std32_max,max32_max,mean16_max,std16_max,max16_max
0.00,40160.16,24.94,58.91,166.26,2978.29,37.73,64.66,1155.34,11.40,21.60,452.41,3.97,7.36,102.91,5.12,11.90,173.47,15.40,54.50,872.63,38.03,177.00,3582.70
0.00,40160.16,24.75,24.91,66.24,1744.77,24.32,39.78,835.52,9.78,17.80,281.61,4.57,7.10,109.82,7.45,19.20,251.08,13.77,47.80,745.00,21.24,90.40,1740.57
1.00,39.87,25.55,35.11,87.53,1543.34,34.06,57.09,963.32,11.44,22.70,378.17,7.45,13.50,176.81,20.55,60.50,860.35,44.15,138.00,1617.04,32.02,168.00,2800.06
1.00,40642.56,44.46,164.40,436.91,9264.41,180.00,284.88,4923.86,29.46,56.90,1221.42,39.68,107.00,1941.29,174.06,629.00,9073.53,583.86,2610.00,41943.45,584.83,2190.00,38533.40
1.00,4.10,45.86,206.48,585.35,11527.15,89.97,156.00,3157.42,17.55,32.10,527.69,29.99,76.20,1163.58,97.49,362.00,5671.71,415.21,1790.00,31499.61,453.88,1780.00,33460.17
0.00,3577.74,47.24,110.27,294.29,5366.12,156.20,251.00,4314.88,30.27,49.80,839.90,36.32,65.80,897.43,121.33,289.00,2966.12,164.76,405.00,3783.19,99.15,300.00,3596.83
1.00,5044.31,28.52,54.14,148.06,3612.80,49.52,87.74,1540.12,18.15,33.30,447.08,6.32,13.10,199.75,12.43,36.80,471.28,22.23,59.90,1316.65,36.86,159.00,2831.33
1.00,19209.96,27.39,63.06,168.06,2010.83,10.98,22.46,430.93,3.23,6.70,152.97,1.53,3.41,104.41,1.83,5.40,96.68,1.67,5.96,135.08,31.06,224.00,5517.45
0.00,318.58,47.45,38.40,101.44,1860.50,71.43,129.00,1992.71,18.62,37.00,601.18,10.29,22.40,495.69,28.57,110.00,2157.86,129.12,532.00,6431.88,45.23,180.00,6269.96
0.00,4876.86,44.56,29.18,76.25,1526.74,51.98,78.90,1207.08,15.08,26.50,458.86,10.37,19.90,276.98,22.48,52.20,607.90,43.41,152.00,2054.36,23.75,98.50,1801.18
1.00,16311.00,27.71,29.10,78.40,1500.47,29.28,50.21,909.76,10.78,20.90,426.42,6.08,8.98,98.76,10.12,18.90,205.72,23.12,68.50,1142.12,35.72,155.00,2528.53
0.00,8387.75,39.09,52.09,129.71,2442.31,54.85,81.18,1141.40,13.89,22.90,374.54,15.56,26.80,273.48,20.93,40.30,463.60,60.61,211.00,4003.47,74.07,278.00,4661.59
0.00,4549.04,27.98,12.44,33.55,681.29,17.14,29.05,540.48,10.11,20.20,289.98,1.59,2.84,51.99,1.20,3.34,54.87,2.77,8.75,166.69,7.92,32.80,612.24
1.00,40801.34,47.37,85.26,218.16,3837.12,136.46,230.14,3254.41,40.14,64.40,987.22,129.04,334.00,4600.13,399.97,1140.00,9970.07,332.90,1080.00,10456.20,108.52,405.00,8776.03
0.00,473.80,52.00,33.22,95.23,2061.94,89.95,156.56,2278.03,17.45,28.60,357.05,22.85,61.80,734.43,53.85,116.00,1084.28,119.71,356.00,4645.21,41.50,170.00,3759.11
0.00,19.31,49.15,68.64,187.74,4527.92,173.67,304.22,4201.80,16.11,33.80,569.56,10.90,24.10,377.56,24.05,53.30,803.13,70.64,251.00,3123.61,60.39,243.00,5375.82
1.00,19.31,41.35,149.87,397.60,8668.24,206.66,346.55,5976.74,44.70,95.60,2088.37,25.83,48.50,644.91,28.60,70.80,1213.03,178.59,561.00,8136.55,128.35,524.00,9385.37
1.00,8.43,61.04,529.39,1246.52,19667.82,622.70,1288.07,17906.01,98.10,149.00,2930.96,531.99,1030.00,13395.08,1346.82,2500.00,16753.23,754.23,1860.00,16091.24,472.98,1730.00,34321.81
0.00,8.43,61.04,461.35,1245.13,17783.06,72.35,126.35,2635.93,31.42,47.80,920.11,175.64,355.00,3800.69,548.93,1410.00,13973.52,384.18,1070.00,12395.47,428.35,2670.00,62267.02
0.00,8.43,88.59,266.33,679.12,9584.75,255.12,571.00,7581.02,20.94,38.40,912.05,31.94,66.70,960.19,63.89,132.00,2094.12,139.10,352.00,3139.08,190.50,1020.00,26446.43
0.00,20673.79,88.59,29.84,78.16,1528.10,61.88,130.29,1998.82,7.22,12.50,253.78,12.90,23.20,294.79,19.35,53.20,769.79,45.09,160.00,2764.17,33.44,130.00,2703.06
0.00,7670.88,62.72,191.16,465.89,6646.74,158.13,258.45,3679.66,89.77,148.00,1857.15,181.94,482.00,5517.18,706.75,1910.00,19015.70,525.62,1420.00,17855.32,150.94,442.00,9832.86
0.00,586.14,50.18,80.64,213.63,2301.80,21.00,36.83,580.04,15.39,20.20,252.37,16.94,35.10,569.44,189.77,571.00,7571.68,242.35,705.00,7712.53,100.93,646.00,16046.19
0.00,9396.14,50.18,158.74,396.08,5471.21,302.38,668.71,11418.08,40.57,70.40,1557.96,59.49,116.00,1908.97,187.80,579.00,9673.64,464.41,1010.00,9644.00,171.62,723.00,21957.86
0.00,931.00,79.87,109.05,274.81,3809.14,66.87,104.51,1554.35,63.23,99.70,1304.82,211.37,409.00,4424.62,975.79,2250.00,19734.18,568.44,1390.00,16577.39,213.78,919.00,14939.33
1.00,23182.69,79.87,195.75,508.00,8576.74,516.74,1027.93,13090.81,42.17,80.40,1348.55,106.65,332.00,5361.30,569.95,1760.00,19647.77,491.26,1910.00,21238.70,194.15,927.00,28088.14
0.00,37406.32,82.62,225.46,633.35,10523.26,226.58,443.15,5967.77,49.22,99.00,1683.65,89.81,226.00,3886.55,608.95,1880.00,17341.63,380.44,1060.00,9203.97,93.89,761.00,25624.46
0.00,20149.37,82.62,14.55,81.31,2122.19,119.05,248.13,3252.48,36.00,50.40,707.52,117.95,174.00,1448.00,276.27,636.00,6303.89,312.87,784.00,6408.29,86.61,249.00,5421.66
0.00,40000.00,69.95,114.58,296.43,4844.51,247.78,459.24,7760.87,67.74,109.00,1240.87,85.24,165.00,1896.12,107.31,194.00,1686.13,176.55,445.00,4063.22,80.60,270.00,5640.66
0.00,12841.30,82.74,56.85,154.43,2948.30,114.02,187.13,2405.67,14.10,22.00,304.77,28.79,64.10,926.18,83.50,207.00,3162.95,228.23,574.00,4579.97,73.88,339.00,6936.03
1.00,7172.47,59.24,21.25,56.67,1087.97,32.17,52.84,715.37,6.38,10.30,167.26,13.68,31.40,465.74,31.28,98.90,1706.60,92.51,316.00,3677.23,32.37,114.00,2548.19
0.00,3142.88,59.24,93.95,244.14,3187.93,110.59,230.78,3397.57,18.13,30.20,456.05,29.09,71.70,1002.51,73.87,252.00,5008.26,303.08,1230.00,13180.91,75.70,439.00,13176.78
0.00,36838.76,77.90,283.38,723.98,13313.71,252.94,328.73,4929.92,166.07,245.00,2354.97,562.80,1010.00,10949.52,828.53,2040.00,15632.38,317.21,895.00,11789.05,276.55,890.00,21540.92
